Rest Area Type	Name	Description	Location	Accessible From	X Coord	Y Coord	Responsible Authority	Facilities
Heavy and Light Vehicle Rest Area	Upper Warrell Creek	"PACIFIC HIGHWAY, WARRELL CREEK"	43.1km North of Kempsey	Both Directions	-30.77824	152.88674	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Kyabia	"NEW ENGLAND HIGHWAY, URALLA"	69.5km North of Tamworth	Both Directions	-30.75289	151.38376	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Scotts Head Road	"PACIFIC HIGHWAY, WARRELL CREEK"	47.86km North of Kempsey	Northbound	-30.746	152.91499	Roads and Maritime Services	Litter Bins
Load Checking Area		"KAMILAROI HIGHWAY, GUNNEDAH"	3.2km South of Boagabru	Southbound	-30.7406	150.07102	Roads and Maritime Services	
Load Checking Area	Chilcotts Swamp	"NEW ENGLAND HIGHWAY, URALLA"	75.7km North of Tamworth	Westbound	-30.72667	151.44044	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Pilliga Rest Area	"NEWELL HIGHWAY, COONABARABRAN"	51.5km South of Narrabri	Both Directions	-30.72244	149.52486	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Wedgewood Drive	"PACIFIC HIGHWAY, WARRELL CREEK"	50.7km North of Kempsey	Northbound	-30.72167	152.92133	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Lions Park - Macksville	"COOPER STREET, MACKSVILLE"	52.7km North of Kempsey	Both Directions	-30.70405	152.92124	Other	"Shelter, Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	North Macksville	"PACIFIC HIGHWAY, MACKSVILLE"	53.2km North of Kempsey	Westbound	-30.70402	152.92515	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Yarraman Rest Area	"NEWELL HIGHWAY, COONABARABRAN"	54.7km South of Narrabri	Southbound	-30.696	149.53673	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Lumsden Lane	"PACIFIC HIGHWAY, MACKSVILLE"	59km North of Kempsey	Southbound	-30.68443	152.96978	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Watt Creek	"PACIFIC HIGHWAY, MACKSVILLE"	59.3km North of Kempsey	Northbound	-30.68152	152.97233	Roads and Maritime Services	Litter Bins
Load Checking Area		"MITCHELL HIGHWAY, COOLABAH"	1km SouthEast of Byrock	Eastbound	-30.67274	146.41008	Roads and Maritime Services	Litter Bins
Load Checking Area	Byrock-Southeast approach	"MITCHELL HIGHWAY, COOLABAH"	1km SouthEast of Byrock	Westbound	-30.67264	146.41017	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Byrock	"MITCHELL HIGHWAY, COOLABAH"	Byrock	Both Directions	-30.66313	146.40377	Other	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Gins Leap	"KAMILAROI HIGHWAY, BOGGABRI"	48.1km South of Narrabri (Newell Hwy)	Both Directions	-30.65568	150.04168	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Barley Fields Road	"BRIDGE STREET, URALLA"	87.8km North of Tamworth	Both Directions	-30.63876	151.50675	Council	"Picnic Tables, BBQ Facilities, Litter Bins"
Load Checking Area		"COBAR-NR BOURKE RD, BOURKE"	86.29km North of Cobar	Both Directions	-30.63736	145.87247	Roads and Maritime Services	Litter Bins
Load Checking Area		"KAMILAROI HIGHWAY, BOGGABRI"	45.7km South of Narrabri (Newell Hwy)	Both Directions	-30.63631	150.03332	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Packsaddle Roadhouse	"SILVER CITY HIGHWAY, PACKSADDLE"	174km North of Broken Hill	Both Directions	-30.6106	141.96651	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Heavy and Light Vehicle Rest Area	Deep Creek	"PACIFIC HIGHWAY, NAMBUCCA HEADS"	69.8km North of Kempsey	Southbound	-30.6037	152.987	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Packsaddle	"SILVER CITY HIGHWAY, PACKSADDLE"	175km North of Broken Hill	Both Directions	-30.60169	141.964	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Gara River	"WATERFALL WAY, ARMIDALE"	110.9km West of Dorrigo	Both Directions	-30.5441	151.79453	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"MITCHELL HIGHWAY, BYROCK"	15.3km NorthWest of Byrock	Both Directions	-30.5437	146.30482	Roads and Maritime Services	Litter Bins
Load Checking Area		"MITCHELL HIGHWAY, BYROCK"	14.7km North of Byrock	Both Directions	-30.54362	146.30485	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Quota Park	"WATERFALL WAY, ARMIDALE"	122.0km West of Dorrigo	Southbound	-30.5243	151.69156	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Thorpleigh Road	"WATERFALL WAY, WOLLOMOMBI"	94.8km West of Dorrigo	Eastbound	-30.52363	151.95062	Council	Litter Bins
Light Vehicle Rest Area	Armidale City McDonald Park	"BARNEY STREET, ARMIDALE"	123.9km West of Dorrigo	Southbound	-30.51858	151.67155	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	West of Wongwibinda Road	"WATERFALL WAY, WOLLOMOMBI"	79.6km West of Dorrigo	Westbound	-30.51807	152.09561	Council	Litter Bins
Light Vehicle Rest Area	Dingo Fence Rest Area	"WATERFALL WAY, WOLLOMOMBI"	74.1km West of Dorrigo	Both Directions	-30.50249	152.14524	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Appledale Sawmill E/B	"WATERFALL WAY, EBOR"	66.2km West of Dorrigo	Southbound	-30.5003	152.21584	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Oakey Creek Rest Area	"WATERFALL WAY, EBOR"	62.32km West of Dorrigo	Both Directions	-30.50027	152.25331	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Joy Mitchell Park	"PACIFIC HIGHWAY, URUNGA"	83.6km North of Kempsey	Both Directions	-30.49424	153.01467	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins"
Heavy and Light Vehicle Rest Area	Pilliga No 2 Rest Area	"NEWELL HIGHWAY, NARRABRI"	24km South of Narrabri	Both Directions	-30.49411	149.63673	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Lions Park	"NEW ENGLAND HIGHWAY, ARMIDALE"	4.8km North of Armidale	Southbound	-30.49351	151.65104	Other	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Cattle Grid	"WATERFALL WAY, WOLLOMOMBI"	72.4km West of Dorrigo	Eastbound	-30.49319	152.15776	Roads and Maritime Services	Litter Bins
Load Checking Area	North Roundabout	"NEW ENGLAND HIGHWAY, ARMIDALE"	7.4km North of Armidale	Westbound	-30.48913	151.67448	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	BP North Urunga	"PACIFIC HIGHWAY, URUNGA"	84.6km North of Kempsey	Southbound	-30.48597	153.00908	Roads and Maritime Services	Litter Bins
Load Checking Area	Point Lookout Road	"WATERFALL WAY, EBOR"	57.2km West of Dorrigo	Both Directions	-30.47607	152.29195	Roads and Maritime Services	Litter Bins
Load Checking Area	Stringybark Hill	"NEW ENGLAND HIGHWAY, ARMIDALE"	9km North of Armidale	Southbound	-30.476	151.68032	Roads and Maritime Services	Litter Bins
Load Checking Area	Stringybark Hill	"NEW ENGLAND HIGHWAY, ARMIDALE"	9km North of Armidale	Northbound	-30.47569	151.68044	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Burdett Park - Playing Fields	"WATERFALL WAY, RALEIGH"	7.4km West of HW10	Eastbound	-30.4725	152.935	Council	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Short Cut Road	"PACIFIC HIGHWAY, URUNGA"	86.2km North of Kempsey	Northbound	-30.4724	153.00165	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Wingadee Rest Area	"CASTLEREAGH HIGHWAY, COONAMBLE"	62.5km North of Coonamble (Aberford St)	Both Directions	-30.46798	148.19451	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area		"COBAR-NR BOURKE RD, BOURKE"	40.3km South of Bourke	Both Directions	-30.45754	145.93507	Roads and Maritime Services	Litter Bins
Load Checking Area	Bellinger River Stopping Bay	"PACIFIC HIGHWAY, RALEIGH"	88.44km North of Kempsey	Northbound	-30.45679	153.00268	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Raleigh Emergency Stop	"PACIFIC HIGHWAY, RALEIGH"	89.38km North of Kempsey	Northbound	-30.4469	153.00648	Roads and Maritime Services	
Load Checking Area	Valery Emergency Stopping Bay	"PACIFIC HIGHWAY, RALEIGH"	89.64km North of Kempsey	Northbound	-30.44136	153.01176	Roads and Maritime Services	
Light Vehicle Rest Area	Bohena Creek Rest Area (Westport Truck Park)	"NEWELL HIGHWAY, NARRABRI"	16.4km South of Narrabri	Both Directions	-30.43706	149.67853	Roads and Maritime Services	"Toilets, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	ROSES PARK	"WATERFALL WAY, DORRIGO"	14.2km West of Bellingen	Both Directions	-30.42617	152.77913	Council	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Snowy Range 	"WATERFALL WAY, EBOR"	50.3km West of Dorrigo	Eastbound	-30.42511	152.32438	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Lions Park - Barraba	"TAMWORTH-YETMAN RD, BARRABA"	40.3km North of Tamworth (3.2km South of Barraba)	Both Directions	-30.42085	150.6163	Council	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Phone Bay Sth of Fauna Overpass SB	"Pacific Highway, Bonville"	93.27km North of Kempsey	Southbound	-30.41822	153.0249	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Phone Bay Sth of Fauna Overpass NB	"Pacific Highway, Bonville"	93.27km North of Kempsey	Northbound	-30.41795	153.02456	Roads and Maritime Services	Emergency Phone
Heavy and Light Vehicle Rest Area	Phone Bay Nth of Fauna Overpass NB	"Pacific Highway, Bonville"	93.54km North of Kempsey	Northbound	-30.41541	153.02491	Roads and Maritime Services	Emergency Phone
Heavy and Light Vehicle Rest Area	Phone Bay Nth of Fauna Overpass SB	"Pacific Highway, Bonville"	99.67km North of Kempsey	Southbound	-30.41538	153.02564	Roads and Maritime Services	
Light Vehicle Rest Area	Ebor Falls Lookout	"WATERFALL WAY, EBOR"	47.2km West of Dorrigo (1km West of Ebor)	Westbound	-30.4066	152.34565	National Parks and Wildlife Service	"Toilets, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Pine Creek Truck Stopping Bay SB	"Pacific Highway, Bonville"	95.56km North of Kempsey	Southbound	-30.3987	153.03178	Roads and Maritime Services	
Load Checking Area	Pine Creek Truck Stopping Bay NB	"Pacific Highway, Bonville"	95.78km North of Kempsey	Northbound	-30.39683	153.03176	Roads and Maritime Services	
Load Checking Area	Sunnyside Truck Bay	"New England Highway, Tilbuster"	18.1Km North of Armidale	Northbound	-30.39604	151.69226	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Newell Falls	"WATERFALL WAY, DORRIGO"	20.5km West of Bellingen	Both Directions	-30.3945	152.74601	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	East of Sherrard Falls	"WATERFALL WAY, DORRIGO"	21.4km West of Bellingen	Both Directions	-30.3891	152.742	Council	
Light Vehicle Rest Area	Barraba Omeara Park	"TAMWORTH-YETMAN RD, BARRABA"	44.1km North of Tamworth	Both Directions	-30.3887	150.61	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground"
Light Vehicle Rest Area	Australia Day Park - Barraba	"QUEEN STREET, BARRABA"	0.3km North of Barraba	Both Directions	-30.37537	150.61136	Council	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Dorrigo Mountain Top	"WATERFALL WAY, DORRIGO"	24.7km west of Bellingen (2.9km East of Dorrigo)	Both Directions	-30.37462	152.72531	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Driveway gate	"WATERFALL WAY, DORRIGO"	30.3km East of Ebor	Both Directions	-30.3713	152.58463	Council	Litter Bins
Heavy and Light Vehicle Rest Area	Lillis Lane - Barraba Show Ground	"QUEEN STREET, BARRABA"	1.1km North of Barraba	Both Directions	-30.3708	150.60699	Council	"Toilets, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Williams Road Stopping Bay	"Pacific Highway, Bonville"	99.67km North of Kempsey	Northbound	-30.36877	153.05394	Roads and Maritime Services	
Load Checking Area	Meldrum Hill	"WATERFALL WAY, NR FERNBROOK"	26.4km West of Dorrigo	Westbound	-30.36578	152.49751	Council	
Load Checking Area	Rocky Creek Road	"WATERFALL WAY, DORRIGO"	26.0km West of Bellingen	Both Directions	-30.36381	152.72062	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Lyons Road Stopping Bay	"Pacific Highway, Bonville"	100.5km North of Kempsey	Southbound	-30.36188	153.05688	Roads and Maritime Services	
Load Checking Area	South Narrabri Truck Park	"NEWELL HIGHWAY, NARRABRI"	3.7km South of Narrabri	Both Directions	-30.34907	149.75842	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Johnson	"WATERFALL WAY, DORRIGO"	6.6km West of Dorrigo (38.6km East of Ebor)	Both Directions	-30.34716	152.65067	Council	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Oak Street	"WATERFALL WAY, DORRIGO"	1.3km West of Dorrigo	Westbound	-30.3414	152.7005	Council	Litter Bins
Load Checking Area	Boambee Stopping Bay	"PACIFIC HIGHWAY, BOAMBEE"	103.73km North of Kempsey	Both Directions	-30.34013	153.07429	Roads and Maritime Services	
Light Vehicle Rest Area	Dorrigo Bielsdown River	"CUDGERY STREET, DORRIGO"	0.2km West of Dorrigo	Both Directions	-30.3398	152.709	Council	"Toilets, Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Sawtell Stopping Bay	"PACIFIC HIGHWAY, BOAMBEE"	104.08km North of Kempsey	Both Directions	-30.33833	153.07656	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Sawtell Overpass	"PACIFIC HIGHWAY, BOAMBEE"	104.4km North of Kempsey	Both Directions	-30.33592	153.0793	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Lindsay Cutting Stopping Bay	"PACIFIC HIGHWAY, BOAMBEE"	105.73km North of Kempsey	Southbound	-30.32504	153.08367	Roads and Maritime Services	
Light Vehicle Rest Area	Narrabri Tourist Information Centre	"TIBBEREENA ST, NARRABRI"	Narrabri tourist Information Centre	Both Directions	-30.32312	149.78074	Council	"Emergency Phone, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Saleyards Parking Bay	"BARWAN ST, NARRABRI"	2.7km North of Narrabri	Both Directions	-30.30564	149.78325	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Coffs Harbour Moonee Street Tourist Park	"GRAFTON STREET, COFFS HARBOUR"	110.17km North of Kempsey	Westbound	-30.2999	153.11099	Council	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Rocky Cut	"NEW ENGLAND HIGHWAY, BLACK MOUNTAIN"	34.6km North of Armidale	Southbound	-30.27988	151.68531	Roads and Maritime Services	Litter Bins
Load Checking Area	Old alignment	"NEW ENGLAND HIGHWAY, BLACK MOUNTAIN"	34.7km North of Armidale	Northbound	-30.2784	151.68476	Roads and Maritime Services	Litter Bins
Load Checking Area	Guyra Gun Club stockpile	"NEW ENGLAND HIGHWAY, BLACK MOUNTAIN"	36.4km North of Armidale	Northbound	-30.26577	151.67989	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"MITCHELL HIGHWAY, BOURKE"	19.5km SouthEast of Bourke	Both Directions	-30.24572	146.05863	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"COBAR-NR BOURKE RD, BOURKE"	15km South of Bourke	Southbound	-30.23411	145.93322	Roads and Maritime Services	Litter Bins
Load Checking Area		"COBAR-NR BOURKE RD, BOURKE"	15km South of Bourke	Both Directions	-30.23406	145.93364	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Guyra	"MALPAS STREET, GUYRA"	41.72Km North of Armidale	Northbound	-30.21905	151.67266	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Load Checking Area	South approach Bourke	"WILCANNIA-BOURKE RD, BOURKE"	2.1km South of Bourke	Both Directions	-30.11969	145.93304	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Edgeroi Park	"NEWELL HIGHWAY, EDGEROI"	North Edgeroi	Both Directions	-30.11326	149.79918	Council	"Emergency Phone, Shelter, Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Andersons Creek - The Ponds Comp	"TAMWORTH-YETMAN RD, COBBADAH"	31.7km North of Barraba	Eastbound	-30.1108	150.59801	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Burren Junction Bore Baths	"KAMILAROI HIGHWAY, BURREN JUNCTION"	2km East of Burren Junction	Both Directions	-30.10738	148.96857	Other	Litter Bins
Load Checking Area	Truck parking area - Dinoga	"TAMWORTH-YETMAN RD, BINGARA"	32.3km North of Barraba	Both Directions	-30.10644	150.60164	Roads and Maritime Services	Litter Bins
Load Checking Area	Brewarrina/ Walgat Shire Limit	"KAMILAROI HIGHWAY, BREWARRINA"	57.74km East of Brewarrina Bridge	Both Directions	-30.09958	147.39069	Roads and Maritime Services	Litter Bins
Load Checking Area	Tubbamurra	"NEW ENGLAND HIGHWAY, LLANGOTHLIN"	59km North of Armidale	Southbound	-30.09378	151.72353	Roads and Maritime Services	Litter Bins
Load Checking Area	The Big Warrambool	"KAMILAROI HIGHWAY, WALGETT"	75km East of Brewarrina Bridge	Both Directions	-30.0772	147.56082	Roads and Maritime Services	Litter Bins
Load Checking Area	Ryanda Creek Road	"NEW ENGLAND HIGHWAY, LLANGOTHLIN"	62.7km North of Armidale	Southbound	-30.0632	151.71825	Roads and Maritime Services	Litter Bins
Load Checking Area		"MITCHELL HIGHWAY, NORTH BOURKE"	6.4km North of Bourke	Both Directions	-30.0546	145.94934	Council	"Picnic Tables, Litter Bins"
Load Checking Area	Bushes Cut	"NEW ENGLAND HIGHWAY, LLANGOTHLIN"	64.3km North of Armidale	Northbound	-30.04772	151.7192	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Tarrion Creek Rest Area	"COOLABAH-BREWARRINA RD, BREWARRINA"	9.4km South of Brewarrina	Both Directions	-30.04217	146.86764	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"KAMILAROI HIGHWAY, WALGETT"	6.13km West of Walgett	Both Directions	-30.00495	148.05574	Roads and Maritime Services	Litter Bins
Load Checking Area	Northern approach	"CASTLEREAGH HIGHWAY, WALGETT"	1.4km North of Walgett	Both Directions	-30.00475	148.13836	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Beemery	"KAMILAROI HIGHWAY, BREWARRINA"	43km From Bourke	Both Directions	-30.00391	146.35969	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Load Checking Area	Rangoon	"NEW ENGLAND HIGHWAY, BEN LOMOND"	71.2km North of Armidale	Northbound	-29.9956	151.72398	Roads and Maritime Services	Litter Bins
Load Checking Area	Hawthorne Close Truck Adjustment Bay	"PACIFIC HIGHWAY, CORINDI BEACH"	39.18km North of Coffs Harbour	Both Directions	-29.99291	153.16591	Roads and Maritime Services	Litter Bins
Load Checking Area	Ben Lomond Hill	"NEW ENGLAND HIGHWAY, BEN LOMOND"	74.6km North of Armidale	Southbound	-29.97135	151.72067	Roads and Maritime Services	Litter Bins
Load Checking Area	No Name	"KAMILAROI HIGHWAY, BREWARRINA"	4.6km West of Brewarrina	Both Directions	-29.95822	146.79789	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Boat Ramp-Brewarrina	"KAMILAROI HIGHWAY, BREWARRINA"	Brewarrina-East	Both Directions	-29.94817	146.86335	Other	Litter Bins
Heavy and Light Vehicle Rest Area	Halfway Creek Southbound	"Pacific Highway, Halfway Creek"	49.5km North Coffs Harbour	Southbound	-29.93669	153.09682	Roads and Maritime Services	"Emergency Phone, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Glencoe	"NEW ENGLAND HIGHWAY, BEN LOMOND"	80.6km North of Armidale	Both Directions	-29.92247	151.72472	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Glencoe Northbound	"NEW ENGLAND HIGHWAY, BEN LOMOND"	80.6km North of Armidale	Both Directions	-29.92242	151.72421	Roads and Maritime Services	Litter Bins
Load Checking Area	No Name	"KAMILAROI HIGHWAY, BREWARRINA"	7.1km East of Brewarrina Bridge	Both Directions	-29.91588	146.92693	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Cato Bridge Rest Area	"KAMILAROI HIGHWAY, BREWARRINA"	8.0km East of Brewarrina Bridge	Both Directions	-29.91582	146.91329	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Woolabrar Rest Area. Near Bellata	"NEWELL HIGHWAY, BELLATA"	48.8km North of Narrabri	Both Directions	-29.90474	149.7907	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Halls Creek	"TAMWORTH-YETMAN RD, BINGARA"	57.4km North of Barraba  (2.1km South of Bingara)	Both Directions	-29.89578	150.58127	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Tookey Creek Rest Area	"NEWELL HIGHWAY, BELLATA"	48.2km South of Moree	Both Directions	-29.87416	149.78867	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Lookout Road Rest Area	"PACIFIC HIGHWAY, GLENUGIE"	58.3km North of Coffs Harbour	Southbound	-29.87306	153.05461	Roads and Maritime Services	
Light Vehicle Rest Area	Bundarra Road - Cunningham Park	"EAST STREET, BINGARA"	0.8km North of Bingara	Both Directions	-29.864	150.576	Council	"Toilets, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	White Street Park - Bingara	"TAMWORTH-YETMAN RD, BINGARA"	1.3km North of Bingara	Both Directions	-29.8608	150.57384	Council	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Franklins Rd Truck Adjustment Bay	"PACIFIC HIGHWAY, GLENUGIE"	59.96km North of Coffs Harbour	Southbound	-29.85717	153.05212	Roads and Maritime Services	
Load Checking Area	North of Tookey Ck Truck Park	"NEWELL HIGHWAY, BELLATA"	46.2km South of Moree	Both Directions	-29.85596	149.78863	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Balancing Rock (Viewing Site)	"NEW ENGLAND HIGHWAY, BEN LOMOND"	89km North of Armidale	Both Directions	-29.84722	151.73824	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Delungra/Inverell turn off	"TAMWORTH-YETMAN RD, BINGARA"	3.8km North of Bingara	Both Directions	-29.84075	150.56346	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Delangra/Inverell turn off	"TAMWORTH-YETMAN RD, BINGARA"	3.8km North of Bingara	Both Directions	-29.84061	150.56377	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Schumachers eastbound	"GWYDIR HIGHWAY, SWAN VALE"	46.9km West of Glenn Innes	Westbound	-29.7918	151.30492	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Schumachers westbound	"GWYDIR HIGHWAY, SWAN VALE"	46.49km West of Glenn Innes	Both Directions	-29.78941	151.30834	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Celtic Country - Redbank	"NEW ENGLAND HIGHWAY, STONEHENGE"	95.8km North of Armidale	Northbound	-29.78722	151.73195	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Dinjerra Road	"PACIFIC HIGHWAY, GLENUGIE"	69.6km North of Coffs Harbour	Southbound	-29.78408	153.00837	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Inverell Runnymede Drive	"GWYDIR HIGHWAY, INVERELL"	63.5km West of Glen Innes	Both Directions	-29.7809	151.146	Council	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Lauriston	"GWYDIR HIGHWAY, ELSMORE"	59.1km West of Glenn Innes	Both Directions	-29.7735	151.18851	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Swan Brook	"GWYDIR HIGHWAY, SWAN VALE"	33.7km West of Glen Innes	Eastbound	-29.77168	151.4358	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Gratyns Road	"GWYDIR HIGHWAY, INVERELL"	9.9km West of Inverell	Both Directions	-29.74361	151.02112	Council	Litter Bins
Heavy and Light Vehicle Rest Area	McPhillips Creek	"PACIFIC HIGHWAY, GLENUGIE"	74.7km North of Coffs	Both Directions	-29.74317	152.99103	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Gurley Parking Area	"NEWELL HIGHWAY, GURLEY"	32.8km South of Moree (Heber St)	Both Directions	-29.73666	149.79986	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	East of Little Plain	"GWYDIR HIGHWAY, INVERELL"	15.9km West of Inverell	Both Directions	-29.73597	150.9622	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Glen Innes East Avenue	"FERGUSON STREET, GLEN INNES"	0.6km West of Glen Innes	Both Directions	-29.7349	151.73437	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Load Checking Area	Caltex Service Station Parking	"NEW ENGLAND HIGHWAY, GLEN INNES"	0.23km North of Glen Innes	Both Directions	-29.73182	151.73921	Council	
Load Checking Area	Beardy Waters Bridge	"GWYDIR HIGHWAY, GLEN INNES"	150.6km West of Grafton	Both Directions	-29.72814	151.80809	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Sinclair Lookout	"GWYDIR HIGHWAY, GLEN INNES"	14.9km West of Glen Innes	Both Directions	-29.72654	151.59919	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
